"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 광주 59, 전북 77, 전남 44, 대구 118, 부산 95, 울산 79, 경북 70, 경남 95, 제주 44 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:59:52,FALSE,NA,"864993904793329664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frankGD87",6,TRUE,FALSE,NA,NA
"2","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 서울 59, 인천 81, 경기 61, 강원 42, 대전 87, 충북 53, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:59:50,FALSE,NA,"864993898682171392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frankGD87",12,TRUE,FALSE,NA,NA
"3","RT @pm10_bot: 06:00 현재 미세먼지(pm10) 농도: 광주 45, 전북 74, 전남 45, 대구 106, 부산 83, 울산 74, 경북 72, 경남 88, 제주 26 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:40:46,FALSE,NA,"864989099450523648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lol_da_h",3,TRUE,FALSE,NA,NA
"4","RT @pm10_bot: 05:00 현재 미세먼지(pm10) 농도: 광주 45, 전북 87, 전남 100, 대구 88, 부산 78, 울산 86, 경북 80, 경남 92, 제주 20 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:40:38,FALSE,NA,"864989064155373568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lol_da_h",4,TRUE,FALSE,NA,NA
"5","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 광주 59, 전북 77, 전남 44, 대구 118, 부산 95, 울산 79, 경북 70, 경남 95, 제주 44 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:39:27,FALSE,NA,"864988769270628352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rorrorrdd",6,TRUE,FALSE,NA,NA
"6","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 서울 59, 인천 81, 경기 61, 강원 42, 대전 87, 충북 53, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:37:54,FALSE,NA,"864988379150032900",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shinjiyongc",12,TRUE,FALSE,NA,NA
"7","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 서울 59, 인천 81, 경기 61, 강원 42, 대전 87, 충북 53, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:31:57,FALSE,NA,"864986877891235842",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hello_am_sehun",12,TRUE,FALSE,NA,NA
"8","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 서울 59, 인천 81, 경기 61, 강원 42, 대전 87, 충북 53, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:28:29,FALSE,NA,"864986008449761280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KR_rose_",12,TRUE,FALSE,NA,NA
"9","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 광주 59, 전북 77, 전남 44, 대구 118, 부산 95, 울산 79, 경북 70, 경남 95, 제주 44 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:28:28,FALSE,NA,"864986001248145409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KR_rose_",6,TRUE,FALSE,NA,NA
"10","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 서울 59, 인천 81, 경기 61, 강원 42, 대전 87, 충북 53, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:27:22,FALSE,NA,"864985725367799809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cm_ili",12,TRUE,FALSE,NA,NA
"11","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 서울 59, 인천 81, 경기 61, 강원 42, 대전 87, 충북 53, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:25:03,FALSE,NA,"864985142267224064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_yeon_chan_",12,TRUE,FALSE,NA,NA
"12","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 서울 59, 인천 81, 경기 61, 강원 42, 대전 87, 충북 53, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:24:38,FALSE,NA,"864985038412066817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dummysecret",12,TRUE,FALSE,NA,NA
"13","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 서울 59, 인천 81, 경기 61, 강원 42, 대전 87, 충북 53, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 23:24:31,FALSE,NA,"864985010859724800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xpdl_93",12,TRUE,FALSE,NA,NA
